,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.876523410285476+0j),(1.3467550292087074+0j),(0.876523410285476+0j),(1.3467550292087074+0j),0j,0j
1,(-0.048980623629543946-0.18949236177095397j),(-0.10877251240396221+0.04782117714654359j),(0.19572035321006637+0j),(0.11882055562212801+0j),(-1.8237432606857278+0j),(2.7273841163235106+0j)
2,(0.14604898473179953+0.1388603811675791j),(-0.18237657664031187-0.12340911932599635j),(0.20152546092043747+0j),(0.2202067810941742+0j),(0.7601723212398206+0j),(-2.5466952431167535+0j)
3,(-0.0921266571897853-0.14477123580306306j),(-0.022786086745740952-0.01125287562154842j),(0.17159846060180814+0j),(0.02541324377049239+0j),(-2.1375231211459584+0j),(-2.682878313153257+0j)
4,(-0.10488477771027921+0.373007663889866j),(0.1248512356192506+0.05266772980119387j),(0.3874732686468964+0j),(0.13550542719044575+0j),(1.8449050763575094+0j),(0.3991943521263644+0j)
5,(0.07145472376869771+1.3877787807814457e-17j),(-0.14960399143676903-2.6020852139652106e-18j),(0.07145472376869771+0j),(0.14960399143676903+0j),(1.9421791976605362e-16+0j),(-3.141592653589793+0j)
6,(-0.10488477771027921-0.373007663889866j),(0.1248512356192506-0.05266772980119387j),(0.3874732686468964+0j),(0.13550542719044575+0j),(-1.8449050763575094+0j),(-0.3991943521263644+0j)
7,(-0.0921266571897853+0.14477123580306306j),(-0.022786086745740952+0.011252875621548423j),(0.17159846060180814+0j),(0.02541324377049239+0j),(2.1375231211459584+0j),(2.682878313153257+0j)
8,(0.14604898473179953-0.1388603811675791j),(-0.18237657664031187+0.12340911932599635j),(0.20152546092043747+0j),(0.2202067810941742+0j),(-0.7601723212398206+0j),(2.5466952431167535+0j)
9,(-0.04898062362954397+0.18949236177095397j),(-0.10877251240396221-0.04782117714654359j),(0.19572035321006637+0j),(0.11882055562212801+0j),(1.823743260685728+0j),(-2.7273841163235106+0j)
